V ;num_sommet ;nom_sommet ;numéro_ligne ;si_terminus ;branchement
V ;0064 ;Château Rouge ;4 ;False ;0
V ;0065 ;Château d'Eau ;4 ;False ;0
V ;0066 ;Château de Vincennes ;1 ;True ;0
V ;0067 ;Châtelet ;1 ;False ;0
V ;0068 ;Châtelet ;11 ;True ;0
V ;0069 ;Châtelet ;14 ;False ;0
V ;0070 ;Châtelet ;4 ;False ;0
V ;0071 ;Châtelet ;7 ;False ;0
V ;0072 ;Châtillon-Montrouge ;13 ;True ;0
V ;0073 ;Cité ;4 ;False ;0
V ;0074 ;Cluny, La Sorbonne ;10 ;False ;0
V ;0075 ;Colonel Fabien ;2 ;False ;0
V ;0076 ;Commerce ;8 ;False ;0
V ;0077 ;Concorde ;1 ;False ;0
V ;0078 ;Concorde ;12 ;False ;0
V ;0079 ;Concorde ;8 ;False ;0
V ;0080 ;Convention ;12 ;False ;0
V ;0081 ;Corentin Celton ;12 ;False ;0
V ;0082 ;Corentin-Cariou ;7 ;False ;0
V ;0083 ;Corvisart ;6 ;False ;0
V ;0084 ;Cour Saint-Émilion ;14 ;False ;0
V ;0085 ;Courcelles ;2 ;False ;0
V ;0086 ;Couronnes ;2 ;False ;0
V ;0087 ;Crimée ;7 ;False ;0
V ;0088 ;Croix de Chavaux ;9 ;False ;0
V ;0089 ;Créteil-Préfecture ;8 ;True ;0
V ;0090 ;Créteil-Université ;8 ;False ;0
V ;0091 ;Créteil-l'Echat, Hôpital Henri Mondor ;8 ;False ;0
V ;0092 ;Danube ;7bis ;False ;0
V ;0093 ;Daumesnil ;6 ;False ;0
V ;0094 ;Daumesnil ;8 ;False ;0
V ;0095 ;Denfert Rochereau ;4 ;False ;0
V ;0096 ;Denfert Rochereau ;6 ;False ;0
V ;0097 ;Dugommier ;6 ;False ;0
V ;0098 ;Dupleix ;6 ;False ;0
V ;0099 ;Duroc ;10 ;False ;0
V ;0100 ;Duroc ;13 ;False ;0
V ;0101 ;Edgar Quinet ;6 ;False ;0
V ;0102 ;Esplanade de la Défense ;1 ;False ;0
V ;0103 ;Europe ;3 ;False ;0
V ;0104 ;Exelmans ;9 ;False ;0
V ;0105 ;Faidherbe-Chaligny ;8 ;False ;0
V ;0106 ;Falguière ;12 ;False ;0
V ;0107 ;Filles du Calvaire ;8 ;False ;0
V ;0108 ;Fort d'Aubervilliers ;7 ;False ;0
V ;0109 ;Franklin D. Roosevelt ;1 ;False ;0
V ;0110 ;Franklin D. Roosevelt ;9 ;False ;0
V ;0111 ;Félix Faure ;8 ;False ;0
V ;0112 ;Gabriel Péri, Asnières-Gennevilliers ;13 ;True ;2
V ;0113 ;Gaité ;13 ;False ;0
V ;0114 ;Galliéni ;3 ;True ;0
V ;0115 ;Gambetta ;3 ;False ;0
V ;0116 ;Gambetta ;3bis ;True ;0
V ;0117 ;Gare d'Austerlitz ;10 ;True ;0
V ;0118 ;Gare d'Austerlitz ;5 ;False ;0
V ;0119 ;Gare de Lyon ;1 ;False ;0
V ;0120 ;Gare de Lyon ;14 ;False ;0
V ;0121 ;Gare de l'Est ;4 ;False ;0
V ;0122 ;Gare de l'Est ;5 ;False ;0
V ;0123 ;Gare de l'Est ;7 ;False ;0
V ;0124 ;Gare du Nord ;4 ;False ;0
V ;0125 ;Gare du Nord ;5 ;False ;0
V ;0126 ;Garibaldi ;13 ;False ;1
V ;0127 ;George V ;1 ;False ;0
V ;0128 ;Glacière ;6 ;False ;0
V ;0129 ;Goncourt ;11 ;False ;0
V ;0130 ;Grande Arche de la Défense ;1 ;True ;0
V ;0131 ;Guy Môquet ;13 ;False ;1
V ;0132 ;Havre Caumartin ;3 ;False ;0
V ;0133 ;Havre Caumartin ;9 ;False ;0
V ;0134 ;Hoche ;5 ;False ;0
V ;0135 ;Hôtel de Ville ;1 ;False ;0
V ;0136 ;Hôtel de Ville ;11 ;False ;0
